columns,dce,czce,shfe,cffex,dtype
commodity,商品名称,,PRODUCTNAME,,object
symbol,交割月份,品种月份,DELIVERYMONTH,合约代码,object
open,开盘价,今开盘,OPENPRICE,今开盘,float64
high,最高价,最高价,HIGHESTPRICE,最高价,float64
low,最低价,最低价,LOWESTPRICE,最低价,float64
close,收盘价,今收盘,CLOSEPRICE,今收盘,float64
volume,成交量,成交量(手),VOLUME,成交量,float64
openInt,持仓量,空盘量,OPENINTEREST,持仓量,float64
amount,成交额,成交额(万元),,成交金额,float64
settle,结算价,今结算,SETTLEMENTPRICE,今结算,float64
,前结算价,昨结算,PRESETTLEMENTPRICE,,float64
,涨跌,涨跌幅,,涨跌1,
,涨跌1,,,涨跌2,
,持仓量变化,增减量,OPENINTERESTCHG,,
,,交割结算价,,,
,,,,隐含波动率(%),
,,,,Delta,
